smi,vis,prd
CCCCC,0.23,0.17446133
C(C)CCCC,0.3,0.28423285
CCCCCCC,0.39,0.3600273
CCCCCCCC,0.51,0.5456039
CCCCCCCCC,0.66,0.6811644
CCCCCCCCCC,0.86,0.84647137
CCCCCCCCCCC,1.1,1.0464401
CCCCCCCCCCCCC,1.7,1.5738395
CCCCCCCCCCCCCCC,2.54,2.3059719
CCCCCCCCCCCCCCCC,3.06,2.7550185
CCCCCCCCCCCCCCCCC,3.61,3.2666237
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,29.7,28.026625
CC(C)(C)CC,0.34,0.26621464
CC(C)C(C)C,0.33,0.32560816
CC(C)(C)C(C)C,0.55,0.48943752
CC(C)(C)CCC,0.31,0.28886396
CC(C)CCCC,0.35,0.32119954
CC(C)(C)C(C)CC,0.57,0.53670585
CC(C)(C)CC(C)C,0.47,0.41342244
CCC(CC)CCC,0.42,0.40252918
CC(C)(CC(C)(C)C)C,0.75,0.66911453
CCCCCC(C)C,0.49,0.4023595
CCCCCCC(C)C,0.63,0.63789403
CC(C)(C)CC(C)CCC,0.52,0.6046362
CC(C)CC(C)CC(C)CCC,1.1,0.93109524
CC(C)CC(C)CC(C)CCCC,1.4,1.3845109
CC(C)CC(C)CC(C)CCCCCC,2.3,2.0896251
CC(C)CC(C)CC(C)CCCCCCC,2.8,2.5222867
CC(C)CC(C)CC(C)CCCCCCCCC,4.2,3.738461
CC(C)CC(C)CC(C)CCCCCCCCCCC,5.7,5.355004
C1CCCC1,0.41,0.53264815
C1CCCCC1,0.9,0.78737056
C1CCCCCC1,1.37,1.2050183
C1CCCCCCC1,2.28,1.9045182
C(CCC1)(C1)C,0.48,0.4103545
CCC1CCCC1,0.53,0.43880638
CCCC1CCCC1,0.65,0.5136808
C(CC1)CC1C(C)C,0.65,0.62713826
C(CC1)CC1CC(C)C,0.5,0.5576978
C(CCCC1)(C1)C,0.68,0.7160106
CC1CCCC(C)C1,0.68,0.6367296
CC1CCCCC1C,0.77,0.7429707
CCCC1CCCCC1,0.95,0.89781326
C(CCCC1)(C1)C(C)C,0.98,0.98659885
C(CCCC1)(C1)CCCC,1.22,1.2885683
C(CCC1CC(C)C)CC1,1.12,0.96656144
C12CCCCC1CCCC2,3.01,2.4029088
C1=CCCC1,0.23,0.24232566
CC1C=CCC1,0.29,0.28607634
C1=CCCCC1,0.62,0.40224645
C(=CCCC1)(C1)C,0.42,0.43213567
C1=CC=CC=C1,0.61,0.6429342
C1=CC=CC=C1C,0.55,0.5299601
C1=C(C(=CC=C1)C)C,0.76,0.6326266
C1=C(C=CC=C1C)C,0.58,0.53107846
C1=CC(=CC=C1C)C,0.6,0.57902235
C1=CC=CC=C1CC,0.63,0.56123596
CC1=CC=CC(C)=C1C,0.86,0.81460994
CC1=C(C)C=CC(C)=C1,0.92,0.74978876
CC1=CC(C)=CC(C)=C1,0.69,0.6083011
CCCC1=CC=CC=C1,0.79,0.6792525
CCC1=C(CC)C=CC=C1,0.9,0.80414516
CCC1=CC(CC)=CC=C1,0.8,0.71490455
CCC1=CC=C(CC)C=C1,0.89,0.77148783
CCCCC1=CC=CC=C1,0.97,0.9518678
CC(C)CC1=CC=CC=C1,0.81,0.7385981
CCC(C1=CC=CC=C1)C,0.97,1.1030687
CC1=CC=CC=C1CC,0.71,0.74747413
CC1=CC=CC(CC)=C1,0.66,0.7175216
CC1=CC=C(CC)C=C1,0.66,0.6038719
CCCCCCCCCCC1=CC=CC=C1,3.4,3.1080835
C1=CC=CC=C1C=C,0.7,0.6770604
C2=C1CCCCC1=CC=C2,2.0,1.8486117
CO,0.54,0.50388515
C(C)O,1.07,1.036196
C(CO)C,1.9,1.9478288
CC(O)C,2.0,1.7297211
C(CCO)C,2.6,2.4993503
CC(O)CC,3.2,3.2052312
CC(C)CO,3.3,2.6257327
CC(C)(O)C,4.4,2.912691
C(CCO)CC,3.5,2.9547453
CC(C)CCO,3.6,3.1498585
CCCCCCO,4.5,4.2604513
C(C(C)C)C(C)O,4.1,3.3915288
C(C(CC)CO)C,5.9,4.860103
CCCCCCCO,5.8,5.205119
CCCCCCCCO,7.5,6.525837
C(C(CO)CC)CCC,6.3,6.131075
CCCCCCCCCO,9.4,8.120952
CCCCCCCCCCO,11.4,10.035197
CCCCCCCCCCCO,14.3,12.287897
CCCCCCCCCCCCO,16.3,14.903175
C=CCO,1.2,1.1224601
C(OC)CO,1.5,1.7574099
OCC1=CC=CC=C1,5.3,4.7068405
C1=C(C)C=CC=C1O,12.7,8.782203
C(CO)O,17.3,9.309645
C(O)COCCO,29.2,17.328842
C(C)OCCO,1.8,1.9582589
CC(O)COC,1.68,2.1105802
OCCOCCC,2.4,2.2157462
C(OCCO)CCC,2.9,2.7666585
OCCOCCOCC,3.9,4.0264235
OCCOCCOCCOC,6.7,6.831777
OCCOCCCCCC,4.5,4.283867
C(C)CCOCCOCCO,5.1,5.18905
OCCOCCOCCO,38.0,32.62953
OCCOCCOCCCCCC,6.3,7.3435445
OCCOCCOCCOCCCC,9.0,8.532795
C(OCC)C,0.23,0.22920784
COCCCC,0.32,0.32684603
COC(C)(C)C,0.34,0.3921984
CCCOCC,0.3,0.32915086
CCCOCCC,0.4,0.369303
CC(OC(C)C)C,0.35,0.2869219
O(C)CCCCC,0.42,0.3452606
O(CCCC)CC,0.41,0.37887084
CCCCOCCCC,0.64,0.59695274
O(CCCCC)CCCCC,0.98,0.7981777
C1(COCC2=CC=CC=C2)=CC=CC=C1,4.7,4.645722
CC1CO1,0.3,0.30249128
C1=COC=C1,0.36,0.3232373
C1CCCO1,0.47,0.5351994
COCCOC,0.43,0.46203282
C1COCCO1,1.2,1.0726463
COCCOCCOC,0.98,0.8253268
COCCOCCOCCOCCOC,3.3,2.8212361
C(OC)OC,0.34,0.32905835
O(CC)COCC,0.45,0.40252918
O(C(OCC)C)CC,0.44,0.40275553
CC(OCCCC)OCCCC,1.2,1.05456
O(C(OC(O1)C)C)C1C,1.1,0.929657
CCOC(OCC)OCC,0.68,0.6228343
CCOCCOCCOCC,1.3,1.0507137
COC1=CC=CC=C1,1.0,0.87982637
CCOC1=CC=CC=C1,1.2,1.0902764
CCCOC1=CC=CC=C1,1.4,1.3726925
CCCC=O,0.42,0.33621055
C/C=C/C=O,0.52,0.5799997
O=CCC(C)C,0.53,0.4438925
O=CC(OC=C1)=C1,1.6,1.3191686
C1=CC=CC=C1C=O,1.4,1.388408
OC1=CC=CC=C1C=O,2.5,2.4376025
CC(=O)C,0.31,0.3094572
C(C(C)=O)C,0.4,0.3732686
CC(CCC)=O,0.47,0.4018509
CC(CCCC)=O,0.58,0.58837384
C(C(C)C)C(C)=O,0.54,0.46607628
CC(C)=CC(C)=O,0.61,0.5509978
C(C(C)=O)C(C)(O)C,3.3,3.0479567
CC(CCCCC)=O,0.76,0.68567854
C(CC(C)=O)C(C)C,0.75,0.664616
CC(CCCCCC)=O,0.95,0.9430796
CC(CCCCCCC)=O,1.2,1.1357895
C(C(C)C)C(=O)CC(C)C,0.84,0.8250949
CC(CCCCCCCCC)=O,1.9,1.676352
O=C1CCCC1,1.1,1.0321265
O=C1CCCCC1,2.0,1.4697258
CC1=CC(=O)CC(C1)(C)C,2.3,2.4863875
O=CO,1.6,1.068734
CC(O)=O,1.1,1.2188141
O=C(O)CC,1.0,1.1878678
C=CC(O)=O,1.2,1.1294225
C(C(O)=O)CC,1.5,1.6084994
CC(C)C(O)=O,1.2,1.4968246
OC(=O)CC=C,1.4,1.6055633
CC(C(O)=O)=C,1.4,1.379849
O=C(O)CCCC,2.0,2.1882043
